[09/Mar/2015 05:30:49] DEBUG [django.db.backends:79] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'c8nefzhyo802oh6udue43lmrrhorkf1n'  AND `django_session`.`expire_date` > '2015-03-09 05:30:49' ); args=('c8nefzhyo802oh6udue43lmrrhorkf1n', u'2015-03-09 05:30:49')
[09/Mar/2015 05:30:51] DEBUG [django.db.backends:79] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
[09/Mar/2015 05:31:12] DEBUG [django.db.backends:79] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'c8nefzhyo802oh6udue43lmrrhorkf1n'  AND `django_session`.`expire_date` > '2015-03-09 05:31:12' ); args=('c8nefzhyo802oh6udue43lmrrhorkf1n', u'2015-03-09 05:31:12')
[09/Mar/2015 05:31:12] DEBUG [django.db.backends:79] (0.001) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
[09/Mar/2015 05:31:12] DEBUG [django.db.backends:79] (0.000) SELECT `access_dailypath`.`id`, `access_dailypath`.`path`, `access_dailypath`.`dailyType`, `access_dailypath`.`SaveYesNo` FROM `access_dailypath` WHERE `access_dailypath`.`id` = 1 ; args=(1,)
[09/Mar/2015 05:31:12] DEBUG [django.db.backends:79] (0.000) UPDATE `access_dailypath` SET `path` = 'http://104.131.233.5/logs/', `dailyType` = 0, `SaveYesNo` = 0 WHERE `access_dailypath`.`id` = 1 ; args=(u'http://104.131.233.5/logs/', 0, 0, 1)
[09/Mar/2015 05:31:12] DEBUG [django.db.backends:79] (0.000) INSERT INTO `django_admin_log` (`action_time`, `user_id`, `content_type_id`, `object_id`, `object_repr`, `action_flag`, `change_message`) VALUES ('2015-03-09 05:31:12', 1, 8, '1', 'DailyPath object', 2, 'No fields changed.'); args=[u'2015-03-09 05:31:12', 1, 8, u'1', u'DailyPath object', 2, u'No fields changed.']
[09/Mar/2015 05:31:12] DEBUG [django.db.backends:79] (0.001) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'c8nefzhyo802oh6udue43lmrrhorkf1n'  AND `django_session`.`expire_date` > '2015-03-09 05:31:12' ); args=('c8nefzhyo802oh6udue43lmrrhorkf1n', u'2015-03-09 05:31:12')
[09/Mar/2015 05:31:12] DEBUG [django.db.backends:79] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
[09/Mar/2015 05:31:12] DEBUG [django.db.backends:79] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'c8nefzhyo802oh6udue43lmrrhorkf1n'  AND `django_session`.`expire_date` > '2015-03-09 05:31:12' ); args=('c8nefzhyo802oh6udue43lmrrhorkf1n', u'2015-03-09 05:31:12')
[09/Mar/2015 05:31:12] DEBUG [django.db.backends:79] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
[09/Mar/2015 05:31:17] DEBUG [django.db.backends:79] (0.000) SELECT `django_session`.`session_key`, `django_session`.`session_data`, `django_session`.`expire_date` FROM `django_session` WHERE (`django_session`.`session_key` = 'c8nefzhyo802oh6udue43lmrrhorkf1n'  AND `django_session`.`expire_date` > '2015-03-09 05:31:17' ); args=('c8nefzhyo802oh6udue43lmrrhorkf1n', u'2015-03-09 05:31:17')
[09/Mar/2015 05:31:17] DEBUG [django.db.backends:79] (0.000) SELECT `auth_user`.`id`, `auth_user`.`password`, `auth_user`.`last_login`, `auth_user`.`is_superuser`, `auth_user`.`username`, `auth_user`.`first_name`, `auth_user`.`last_name`, `auth_user`.`email`, `auth_user`.`is_staff`, `auth_user`.`is_active`, `auth_user`.`date_joined` FROM `auth_user` WHERE `auth_user`.`id` = 1 ; args=(1,)
[09/Mar/2015 05:31:17] DEBUG [django.db.backends:79] (0.000) SELECT `access_dailypath`.`id`, `access_dailypath`.`path`, `access_dailypath`.`dailyType`, `access_dailypath`.`SaveYesNo` FROM `access_dailypath` WHERE `access_dailypath`.`id` = 1 ; args=(1,)
